2 #SUP: 289
5 #SUP: 312
6 #SUP: 5
7 #SUP: 53
8 #SUP: 6
9 #SUP: 29
10 #SUP: 30
11 #SUP: 10
12 #SUP: 10
13 #SUP: 6
14 #SUP: 3
15 #SUP: 36
16 #SUP: 27
17 #SUP: 88
18 #SUP: 2
19 #SUP: 2
20 #SUP: 18
21 #SUP: 28
22 #SUP: 2
25 #SUP: 2
26 #SUP: 2
2 5  #SUP: 287
7 9 12 17 20  #SUP: 2
7 10 11 12 17  #SUP: 3
7 10 11 12 20  #SUP: 2
7 10 11 17 20  #SUP: 2
7 10 12 17 20  #SUP: 2
7 11 12 17 20  #SUP: 2
7 13 16 17 20  #SUP: 2
9 10 11 12 16  #SUP: 2
9 10 11 12 17  #SUP: 6
9 10 11 12 20  #SUP: 4
9 10 11 16 17  #SUP: 2
9 10 11 16 20  #SUP: 2
9 10 11 17 20  #SUP: 4
9 10 12 16 17  #SUP: 2
9 10 12 16 20  #SUP: 2
9 10 12 17 20  #SUP: 4
9 10 16 17 20  #SUP: 2
9 10 17 20 21  #SUP: 2
9 11 12 16 17  #SUP: 2
9 11 12 16 20  #SUP: 2
9 11 12 17 20  #SUP: 4
9 11 16 17 20  #SUP: 2
9 12 16 17 20  #SUP: 2
10 11 12 16 17  #SUP: 2
10 11 12 16 20  #SUP: 2
10 11 12 17 20  #SUP: 4
10 11 16 17 20  #SUP: 2
10 12 16 17 20  #SUP: 2
11 12 16 17 20  #SUP: 2
2 5 6 7 15 16  #SUP: 2
2 5 6 15 16 17  #SUP: 2
2 5 6 15 17 21  #SUP: 2
2 5 7 9 10 11  #SUP: 3
2 5 7 9 10 12  #SUP: 3
2 5 7 9 10 17  #SUP: 5
2 5 7 9 10 20  #SUP: 3
2 5 7 9 11 12  #SUP: 3
2 5 7 9 11 17  #SUP: 3
2 5 7 9 11 20  #SUP: 2
2 5 7 9 12 17  #SUP: 3
2 5 7 9 12 20  #SUP: 2
2 5 7 9 17 20  #SUP: 3
2 5 7 10 11 12  #SUP: 3
2 5 7 10 11 17  #SUP: 3
2 5 7 10 11 20  #SUP: 2
2 5 7 10 12 17  #SUP: 3
2 5 7 10 12 20  #SUP: 2
2 5 7 10 17 20  #SUP: 3
2 5 7 11 12 17  #SUP: 3
2 5 7 11 12 20  #SUP: 2
2 5 7 11 17 20  #SUP: 2
2 5 7 12 17 20  #SUP: 2
2 5 7 13 16 17  #SUP: 2
2 5 7 13 16 20  #SUP: 2
2 5 7 13 17 20  #SUP: 2
2 5 7 15 16 17  #SUP: 3
2 5 7 15 17 21  #SUP: 2
2 5 7 16 17 20  #SUP: 2
2 5 7 16 17 21  #SUP: 3
2 5 7 16 17 22  #SUP: 2
2 5 7 17 20 21  #SUP: 2
2 5 9 10 11 12  #SUP: 8
2 5 9 10 11 16  #SUP: 2
2 5 9 10 11 17  #SUP: 6
2 5 9 10 11 20  #SUP: 4
2 5 9 10 12 16  #SUP: 2
2 5 9 10 12 17  #SUP: 6
2 5 9 10 12 20  #SUP: 4
2 5 9 10 16 17  #SUP: 3
2 5 9 10 16 20  #SUP: 2
2 5 9 10 17 20  #SUP: 6
2 5 9 10 17 21  #SUP: 3
2 5 9 10 20 21  #SUP: 2
2 5 9 11 12 16  #SUP: 2
2 5 9 11 12 17  #SUP: 6
2 5 9 11 12 20  #SUP: 4
2 5 9 11 16 17  #SUP: 2
2 5 9 11 16 20  #SUP: 2
2 5 9 11 17 20  #SUP: 4
2 5 9 12 16 17  #SUP: 2
2 5 9 12 16 20  #SUP: 2
2 5 9 12 17 20  #SUP: 4
2 5 9 16 17 20  #SUP: 2
2 5 9 17 20 21  #SUP: 2
2 5 10 11 12 16  #SUP: 2
2 5 10 11 12 17  #SUP: 6
2 5 10 11 12 20  #SUP: 4
2 5 10 11 16 17  #SUP: 2
2 5 10 11 16 20  #SUP: 2
2 5 10 11 17 20  #SUP: 4
2 5 10 12 16 17  #SUP: 2
2 5 10 12 16 20  #SUP: 2
2 5 10 12 17 20  #SUP: 4
2 5 10 16 17 20  #SUP: 2
2 5 10 17 20 21  #SUP: 2
2 5 11 12 16 17  #SUP: 2
2 5 11 12 16 20  #SUP: 2
2 5 11 12 17 20  #SUP: 4
2 5 11 16 17 20  #SUP: 2
2 5 12 16 17 20  #SUP: 2
2 5 13 16 17 20  #SUP: 2
2 5 15 17 20 21  #SUP: 4
2 5 16 17 20 21  #SUP: 2
2 7 9 10 11 12  #SUP: 3
2 7 9 10 11 17  #SUP: 3
2 7 9 10 11 20  #SUP: 2
2 7 9 10 12 17  #SUP: 3
2 7 9 10 12 20  #SUP: 2
2 7 9 10 17 20  #SUP: 3
2 7 9 11 12 17  #SUP: 3
2 7 9 11 12 20  #SUP: 2
2 7 9 11 17 20  #SUP: 2
2 7 9 12 17 20  #SUP: 2
2 7 10 11 12 17  #SUP: 3
2 7 10 11 12 20  #SUP: 2
2 7 10 11 17 20  #SUP: 2
2 7 10 12 17 20  #SUP: 2
2 7 11 12 17 20  #SUP: 2
2 7 13 16 17 20  #SUP: 2
2 9 10 11 12 16  #SUP: 2
2 9 10 11 12 17  #SUP: 6
2 9 10 11 12 20  #SUP: 4
2 9 10 11 16 17  #SUP: 2
2 9 10 11 16 20  #SUP: 2
2 9 10 11 17 20  #SUP: 4
2 9 10 12 16 17  #SUP: 2
2 9 10 12 16 20  #SUP: 2
2 9 10 12 17 20  #SUP: 4
2 9 10 16 17 20  #SUP: 2
2 9 10 17 20 21  #SUP: 2
2 9 11 12 16 17  #SUP: 2
2 9 11 12 16 20  #SUP: 2
2 9 11 12 17 20  #SUP: 4
2 9 11 16 17 20  #SUP: 2
2 9 12 16 17 20  #SUP: 2
2 10 11 12 16 17  #SUP: 2
2 10 11 12 16 20  #SUP: 2
2 10 11 12 17 20  #SUP: 4
2 10 11 16 17 20  #SUP: 2
2 10 12 16 17 20  #SUP: 2
2 11 12 16 17 20  #SUP: 2
5 7 9 10 11 12  #SUP: 3
5 7 9 10 11 17  #SUP: 3
5 7 9 10 11 20  #SUP: 2
5 7 9 10 12 17  #SUP: 3
5 7 9 10 12 20  #SUP: 2
5 7 9 10 17 20  #SUP: 3
5 7 9 11 12 17  #SUP: 3
5 7 9 11 12 20  #SUP: 2
5 7 9 11 17 20  #SUP: 2
5 7 9 12 17 20  #SUP: 2
5 7 10 11 12 17  #SUP: 3
5 7 10 11 12 20  #SUP: 2
5 7 10 11 17 20  #SUP: 2
5 7 10 12 17 20  #SUP: 2
5 7 11 12 17 20  #SUP: 2
5 7 13 16 17 20  #SUP: 2
5 9 10 11 12 16  #SUP: 2
5 9 10 11 12 17  #SUP: 6
5 9 10 11 12 20  #SUP: 4
5 9 10 11 16 17  #SUP: 2
5 9 10 11 16 20  #SUP: 2
5 9 10 11 17 20  #SUP: 4
5 9 10 12 16 17  #SUP: 2
5 9 10 12 16 20  #SUP: 2
5 9 10 12 17 20  #SUP: 4
5 9 10 16 17 20  #SUP: 2
5 9 10 17 20 21  #SUP: 2
5 9 11 12 16 17  #SUP: 2
5 9 11 12 16 20  #SUP: 2
5 9 11 12 17 20  #SUP: 4
5 9 11 16 17 20  #SUP: 2
5 9 12 16 17 20  #SUP: 2
5 10 11 12 16 17  #SUP: 2
5 10 11 12 16 20  #SUP: 2
5 10 11 12 17 20  #SUP: 4
5 10 11 16 17 20  #SUP: 2
5 10 12 16 17 20  #SUP: 2
5 11 12 16 17 20  #SUP: 2
7 9 10 11 12 17  #SUP: 3
7 9 10 11 12 20  #SUP: 2
7 9 10 11 17 20  #SUP: 2
7 9 10 12 17 20  #SUP: 2
7 9 11 12 17 20  #SUP: 2
7 10 11 12 17 20  #SUP: 2
9 10 11 12 16 17  #SUP: 2
9 10 11 12 16 20  #SUP: 2
9 10 11 12 17 20  #SUP: 4
9 10 11 16 17 20  #SUP: 2
9 10 12 16 17 20  #SUP: 2
9 11 12 16 17 20  #SUP: 2
10 11 12 16 17 20  #SUP: 2
2 5 7 9 10 11 12  #SUP: 3
2 5 7 9 10 11 17  #SUP: 3
2 5 7 9 10 11 20  #SUP: 2
2 5 7 9 10 12 17  #SUP: 3
2 5 7 9 10 12 20  #SUP: 2
2 5 7 9 10 17 20  #SUP: 3
2 5 7 9 11 12 17  #SUP: 3
2 5 7 9 11 12 20  #SUP: 2
2 5 7 9 11 17 20  #SUP: 2
2 5 7 9 12 17 20  #SUP: 2
2 5 7 10 11 12 17  #SUP: 3
2 5 7 10 11 12 20  #SUP: 2
2 5 7 10 11 17 20  #SUP: 2
2 5 7 10 12 17 20  #SUP: 2
2 5 7 11 12 17 20  #SUP: 2
2 5 7 13 16 17 20  #SUP: 2
2 5 9 10 11 12 16  #SUP: 2
2 5 9 10 11 12 17  #SUP: 6
2 5 9 10 11 12 20  #SUP: 4
2 5 9 10 11 16 17  #SUP: 2
2 5 9 10 11 16 20  #SUP: 2
2 5 9 10 11 17 20  #SUP: 4
2 5 9 10 12 16 17  #SUP: 2
2 5 9 10 12 16 20  #SUP: 2
2 5 9 10 12 17 20  #SUP: 4
2 5 9 10 16 17 20  #SUP: 2
2 5 9 10 17 20 21  #SUP: 2
2 5 9 11 12 16 17  #SUP: 2
2 5 9 11 12 16 20  #SUP: 2
2 5 9 11 12 17 20  #SUP: 4
2 5 9 11 16 17 20  #SUP: 2
2 5 9 12 16 17 20  #SUP: 2
2 5 10 11 12 16 17  #SUP: 2
2 5 10 11 12 16 20  #SUP: 2
2 5 10 11 12 17 20  #SUP: 4
2 5 10 11 16 17 20  #SUP: 2
2 5 10 12 16 17 20  #SUP: 2
2 5 11 12 16 17 20  #SUP: 2
2 7 9 10 11 12 17  #SUP: 3
2 7 9 10 11 12 20  #SUP: 2
2 7 9 10 11 17 20  #SUP: 2
2 7 9 10 12 17 20  #SUP: 2
2 7 9 11 12 17 20  #SUP: 2
2 7 10 11 12 17 20  #SUP: 2
2 9 10 11 12 16 17  #SUP: 2
2 9 10 11 12 16 20  #SUP: 2
2 9 10 11 12 17 20  #SUP: 4
2 9 10 11 16 17 20  #SUP: 2
2 9 10 12 16 17 20  #SUP: 2
2 9 11 12 16 17 20  #SUP: 2
2 10 11 12 16 17 20  #SUP: 2
5 7 9 10 11 12 17  #SUP: 3
5 7 9 10 11 12 20  #SUP: 2
5 7 9 10 11 17 20  #SUP: 2
5 7 9 10 12 17 20  #SUP: 2
5 7 9 11 12 17 20  #SUP: 2
5 7 10 11 12 17 20  #SUP: 2
5 9 10 11 12 16 17  #SUP: 2
5 9 10 11 12 16 20  #SUP: 2
5 9 10 11 12 17 20  #SUP: 4
5 9 10 11 16 17 20  #SUP: 2
5 9 10 12 16 17 20  #SUP: 2
5 9 11 12 16 17 20  #SUP: 2
5 10 11 12 16 17 20  #SUP: 2
7 9 10 11 12 17 20  #SUP: 2
9 10 11 12 16 17 20  #SUP: 2
2 5 7 9 10 11 12 17  #SUP: 3
2 5 7 9 10 11 12 20  #SUP: 2
2 5 7 9 10 11 17 20  #SUP: 2
2 5 7 9 10 12 17 20  #SUP: 2
2 5 7 9 11 12 17 20  #SUP: 2
2 5 7 10 11 12 17 20  #SUP: 2
2 5 9 10 11 12 16 17  #SUP: 2
2 5 9 10 11 12 16 20  #SUP: 2
2 5 9 10 11 12 17 20  #SUP: 4
2 5 9 10 11 16 17 20  #SUP: 2
2 5 9 10 12 16 17 20  #SUP: 2
2 5 9 11 12 16 17 20  #SUP: 2
2 5 10 11 12 16 17 20  #SUP: 2
2 7 9 10 11 12 17 20  #SUP: 2
2 9 10 11 12 16 17 20  #SUP: 2
5 7 9 10 11 12 17 20  #SUP: 2
5 9 10 11 12 16 17 20  #SUP: 2
2 5 7 9 10 11 12 17 20  #SUP: 2
2 5 9 10 11 12 16 17 20  #SUP: 2
